paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,date_added
ABRASIVECFPA6,PA66,0,0,0,0,100,,,8,0.05,1.72,,steel,PoD,dry,,23,,0.28,0.127,0.175,,,,line_graph,high,Abrasive wear against SiC paper mesh 220; Fig 2 & 4; V=17.5e-10 m3; Kv=1.27e-10 m3/Nm; COF not measured on abrasive rig,2026-09-01
ABRASIVECFPA6,PA66,0,0,0,0,80,CF,20,8,0.05,1.72,,steel,PoD,dry,,23,,0.20,0.134,0.185,,,,line_graph,high,Abrasive wear against SiC paper mesh 220; Fig 2 & 4; V=18.5e-10 m3; Kv=1.34e-10 m3/Nm; COF not measured on abrasive rig,2026-09-01
ABRASIVECFPA6,PA66,0,0,0,0,60,CF,40,8,0.05,1.72,,steel,PoD,dry,,23,,0.18,0.166,0.228,,,,line_graph,high,Abrasive wear against SiC paper mesh 220; Fig 2 & 4; V=22.8e-10 m3; Kv=1.66e-10 m3/Nm; COF not measured on abrasive rig,2026-09-01
AUTAY2019,PA66,0,0,0,0,100,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,line_graph,medium,Sliding parallel (0 deg) to fiber direction; 100Cr6 steel ball counterface,2026-09-01
AUTAY2019,PA66,0,10,0,0,90,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.37,,,,,10.1177/0967391119853956,line_graph,medium,Sliding parallel (0 deg) to fiber direction; 100Cr6 steel ball counterface,2026-09-01
AUTAY2019,PA66,0,20,0,0,80,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.27,,,,,10.1177/0967391119853956,line_graph,medium,Sliding parallel (0 deg) to fiber direction; 100Cr6 steel ball counterface,2026-09-01
AUTAY2019,PA66,0,30,0,0,70,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.24,,,,,10.1177/0967391119853956,line_graph,medium,Sliding parallel (0 deg) to fiber direction; 100Cr6 steel ball counterface,2026-09-01
AUTAY2019,PA66,0,10,0,0,90,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.44,,,,,10.1177/0967391119853956,line_graph,medium,Sliding perpendicular (90 deg) to fiber direction; 100Cr6 steel ball counterface,2026-09-01
AUTAY2019,PA66,0,20,0,0,80,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.34,,,,,10.1177/0967391119853956,line_graph,medium,Sliding perpendicular (90 deg) to fiber direction; 100Cr6 steel ball counterface,2026-09-01
AUTAY2019,PA66,0,30,0,0,70,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.23,,,,,10.1177/0967391119853956,line_graph,medium,Sliding perpendicular (90 deg) to fiber direction; 100Cr6 steel ball counterface,2026-09-01
AUTAY2019,PA66,0,0,0,0,100,,,25.6,0.056,40.32,,other,BoP,dry,40,,injection,0.65,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 2.67 % mass loss,2026-09-01
AUTAY2019,PA66,0,10,0,0,90,,,25.6,0.056,40.32,,other,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 2.67 % mass loss,2026-09-01
AUTAY2019,PA66,0,20,0,0,80,,,25.6,0.056,40.32,,other,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 3.67 % mass loss,2026-09-01
AUTAY2019,PA66,0,30,0,0,70,,,25.6,0.056,40.32,,other,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 6.89 % mass loss,2026-09-01
AUTAY2019,PA66,0,0,0,0,100,,,55.6,0.056,40.32,,other,BoP,dry,40,,injection,0.65,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 7.78 % mass loss,2026-09-01
AUTAY2019,PA66,0,10,0,0,90,,,55.6,0.056,40.32,,other,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 15.44 % mass loss,2026-09-01
AUTAY2019,PA66,0,20,0,0,80,,,55.6,0.056,40.32,,other,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 32.67 % mass loss,2026-09-01
AUTAY2019,PA66,0,30,0,0,70,,,55.6,0.056,40.32,,other,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 80.33 % mass loss,2026-09-01
AVALLE2018,PA66,0,0,0,0,100,,,20,0.628,300,,other,PoD,dry,,,injection,0.375,6.3000e-05,0.378,,,10.1016/j.prostr.2017.12.026,table,high,Radipol A 45 D PA66 vs WC pin; wear volume from Table 4 at 300 m; COF from Table 6 at 300 m,2026-09-01
AVALLE2018,PA66,0,0,2,0,96,LDPE,2,20,0.628,300,,other,PoD,dry,,,injection,0.284,1.8750e-04,1.125,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 4 wt% FerroLube GR4009 (50% GR / 50% LDPE); wear volume from Table 4; COF from Table 6,2026-09-01
AVALLE2018,PA66,0,0,4,0,92,LDPE,4,20,0.628,300,,other,PoD,dry,,,injection,0.302,1.0283e-04,0.617,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 8 wt% FerroLube GR4009 (50% GR / 50% LDPE); wear volume from Table 4; COF from Table 6,2026-09-01
AVALLE2018,PA66,0,0,8,0,84,LDPE,8,20,0.628,300,,other,PoD,dry,,,injection,0.272,3.0000e-06,0.018,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 16 wt% FerroLube GR4009 (50% GR / 50% LDPE); wear volume from Table 4; COF from Table 6,2026-09-01
AVALLE2018,PA66,0,0,0,0,96,silicone; EVA,2; 2,20,0.628,300,,other,PoD,dry,,,injection,0.213,1.9833e-05,0.119,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 4 wt% SiliconLube EV-504 (50% siloxane / 50% EVA); wear volume from Table 4; COF from Table 6,2026-09-01
AVALLE2018,PA66,0,0,0,0,92,silicone; EVA,4; 4,20,0.628,300,,other,PoD,dry,,,injection,0.216,2.8500e-05,0.171,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 8 wt% SiliconLube EV-504 (50% siloxane / 50% EVA); wear volume from Table 4; COF from Table 6,2026-09-01
AVALLE2018,PA66,0,0,0,0,84,silicone; EVA,8; 8,20,0.628,300,,other,PoD,dry,,,injection,0.205,5.1000e-05,0.306,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 16 wt% SiliconLube EV-504 (50% siloxane / 50% EVA); wear volume from Table 4; COF from Table 6,2026-09-01
