paper_id,full_title,authors,journal,year,doi,pdf_filename,access_type,extraction_status,notes
NEIS2017a,Tribological properties of PA6 in self-mated and steel contacts,Neis et al.,Wear,2017,10.1016/j.wear.2017.02.032,NEIS2017a.pdf,institutional,done,3 counterface configs
NEIS2017b,Tribological behavior of PA6 plastics in industrial applications,Neis et al.,Wear,2017,10.1016/j.wear.2017.02.032,NEIS2017b.pdf,institutional,done,load and velocity sweep; RuntimeError: Gemini did not return paper context
CHERNETS2023,Wear resistance of PA6 for metal-polymer bearings and gears,Chernets et al.,Tribology in Industry,2023,researchgate.net/publication/376590359,CHERNETS2023.pdf,open,done,PA6+MoS2+Oil vs C45
KULKARNI2014,Tribological behaviours of ABS and PA6 under dry/water/EP conditions,Kulkarni et al.,Journal of Tribology,2014,academia.edu/8264436,KULKARNI2014.pdf,open,pending,dry vs water vs electroplated
CHERNETSSWIC,Evaluation of wear resistance of PA6 PA66 functional composites,Chernets & Swic,ASTRJ,2022,astrj.com/pdf-161591-88743,CHERNETSSWIC.pdf,open,done,6 material types vs C45; RuntimeError: Gemini did not return paper context
SATHEESKUMAR2016,Tribological behaviours of PA6 PA6-Al2O3 PA6-graphite composites,Satheeskumar et al.,Bulletin of Materials Science,2016,10.1007/s12034-016-1296-6,SATHEESKUMAR2016.pdf,institutional,done,Taguchi L16; RuntimeError: Gemini did not return paper context
FDMPA6GF2025,Tribological analysis of annealed laser-treated PA6-GF by FDM,FDM study,Lasers in Manufacturing,2025,10.1007/s40516-025-00309-5,FDMPA6GF2025.pdf,institutional,pending,FDM 3 processing conditions
ABRASIVEGFPA6,Abrasive wear of PA6 and GFR-PA6 vs grit size lubrication,Springer study,Tribology Letters,2023,10.1007/s11249-023-01774-9,ABRASIVEGFPA6.pdf,institutional,done,3 GF levels x 3 grit sizes
IJEMS2018,Dry sliding wear of nylon-6 and GFR nylon-6 by Taguchi technique,IJEMS study,IJEMS,2018,scribd.com/document/509366791,IJEMS2018.pdf,open,done,Taguchi L16 GF 0-30wt%
AUTAY2019,Mechanical and tribological study of short GF-reinforced PA66,Autay et al.,J Elastomers Plastics,2019,10.1177/0967391119853956,AUTAY2019.pdf,institutional,done,PA66 4 GF levels humidity
GFRPA6PV2023,Assessment of tribological performance of GFR-PA6 in harsh PV,Tribology Int study,Tribology International,2023,10.1016/j.triboint.2023.108472,GFRPA6PV2023.pdf,institutional,done,PV limit testing to failure; RuntimeError: Gemini did not return paper context
RSMPA662022,RSM-based optimization of GFR-PA66 tribological performance,PMC study,Polymers,2022,pmc.ncbi.nlm.nih.gov/articles/PMC9573062,RSMPA662022.pdf,open,done,CCD RSM 20-30 runs
CFPA6FFF2021,Friction and wear of AM continuous CF reinforced PA6 composites,Composites B study,Composites Part B,2021,10.1016/j.compositesb.2021.109226,CFPA6FFF2021.pdf,institutional,done,3D printed vs moulded
CFPA62014,Influence of carbon fiber content on tribological properties of PA6,ResearchGate study,Journal,2014,researchgate.net/publication/249356649,CFPA62014.pdf,open,pending,multiple CF vol% levels
ABRASIVECFPA6,Studies on abrasive wear of short CF reinforced polyamide composites,ResearchGate study,Journal,1992,researchgate.net/publication/238170156,ABRASIVECFPA6.pdf,open,done,classic reference; RuntimeError: Gemini did not return paper context; ValueError: Gemini response did not start with the required exact CSV header; saved raw response to /Users/saiadithyaa/Documents/ChatGPT/final_year_project/logs/ABRASIVECFPA6_raw_response.txt; RuntimeError: Unable to upload ABRASIVECFPA6.pdf after 3 attempts
UNAL2012,Friction and wear of PA6 with graphite and wax composites,Unal et al.,Wear,2012,10.1016/j.wear.2012.01.006,UNAL2012.pdf,institutional,done,4 materials x 3 loads x 3 speeds
UNAL2023,Improving specific wear rate of PA6 by adding wax,Unal et al.,Materialwissenschaft,2023,10.1002/mawe.202200057,UNAL2023.pdf,institutional,done,loads 10-250N; ValueError: Gemini response did not start with the required exact CSV header; saved raw response to /Users/saiadithyaa/Documents/ChatGPT/final_year_project/logs/UNAL2023_raw_response.txt; ValueError: Gemini response did not start with the required exact CSV header; saved raw response to /Users/saiadithyaa/Documents/ChatGPT/final_year_project/logs/UNAL2023_raw_response.txt; RuntimeError: Gemini did not return extracted CSV
SPRINGER2015,Prediction and optimization of tribological performance of nylon composites,Springer study,J Brazilian Soc Mech Sci,2015,10.1007/s40430-015-0398-1,SPRINGER2015.pdf,institutional,done,Taguchi graphite+wax
PMC2013,Tribological and mechanical behaviors of PA6-GF with solid lubricants,PMC study,J Nanomaterials,2013,pmc.ncbi.nlm.nih.gov/articles/PMC3677626,PMC2013.pdf,open,done,GF15+PTFE+UHMWPE+graphite; RuntimeError: Gemini did not return paper context
CASTPA6G2018,Tribological characteristics of cast PA6G and PA6G SL composite,Composites B study,Composites Part B,2018,10.1016/j.compositesb.2018.09.052,CASTPA6G2018.pdf,institutional,done,high PV regime
WOLLASTONITE2014,Optimization of wear parameters of PA6 with wollastonite particles,Academia study,Academic paper,2014,academia.edu/81165593,WOLLASTONITE2014.pdf,open,done,Taguchi L9
GOPOSS2020,POSS functionalized graphene oxide nanosheets with multiple reaction sites improve the friction and wear properties of polyamide 6,Sun et al.,Tribology International,2021,10.1016/j.triboint.2020.106747,GOPOSS2020.pdf,institutional,done,in-situ PA6/rGO-POSS nanocomposites; 6 extracted composition conditions; DOI/title verified from PDF
NANOZEOLITE2024,Tribological performance of PA6 nano-zeolite composites,ScienceDirect study,Tribology International,2024,10.1016/j.triboint.2024.109807,NANOZEOLITE2024.pdf,institutional,done,SVR model reference; RuntimeError: Gemini did not return paper context
SILICAPA62020,Influence of load-speed on tribology of silica-polyamide composites,ResearchGate study,Journal,2020,researchgate.net/publication/274333974,SILICAPA62020.pdf,open,done,4 SiO2 levels x loads x speeds
SICPA62020,Dataset SiC-reinforced PA6 tribology structured dataset,Data in Brief,Data in Brief,2020,10.1016/j.dib.2020.105564,SICPA62020.pdf,open,done,download directly structured dataset; ValueError: Gemini response was not parseable CSV; saved to /Users/saiadithyaa/Documents/ChatGPT/final_year_project/logs/SICPA62020_raw_response.txt
PA6TPU2015,Mechanical and tribological properties of PA6-TPU composites,ResearchGate study,Journal,2015,researchgate.net/figure/PA6-TPU,PA6TPU2015.pdf,open,done,PA6-TPU blends; RuntimeError: Gemini did not return paper context
PA6PPS2015,COF and wear rate of PA6 and PA6-PPS composites,ResearchGate study,Journal,2015,researchgate.net/figure/PA6-PPS,PA6PPS2015.pdf,open,done,PA6-PPS blends; ValueError: Gemini response did not start with the required exact CSV header; saved raw response to /Users/saiadithyaa/Documents/ChatGPT/final_year_project/logs/PA6PPS2015_raw_response.txt
PA66BLEND2017,Sliding wear behavior of PA66-PA6 blend nanocomposites,IRJET study,IRJET,2017,academia.edu/81165593,PA66BLEND2017.pdf,open,done,Taguchi L16 PTFE+MoS2+TiO2+GnP; RuntimeError: Gemini did not return paper context
GNPCFPBO2019,Synergetic effect of GNP CF PBO on tribological properties of PA66,Composites B study,Composites Part B,2019,10.1016/j.compositesb.2018.12.105,GNPCFPBO2019.pdf,institutional,done,hybrid GNP+CF+coupling agent; RuntimeError: Gemini did not return paper context
PA66HYBRID2016,PA66 composites with CF MWCNT and MoS2 tribological study,ResearchGate study,Journal,2016,researchgate.net/publication/296684278,PA66HYBRID2016.pdf,open,pending,Taguchi 3 loads x 3 speeds
PA66GFPTFE2009,Study on friction and wear behaviors of modified PA66 composites,ResearchGate study,Journal,2009,researchgate.net/publication/232819547,PA66GFPTFE2009.pdf,open,pending,GF+PTFE+MoS2 combos
GNP2026,Thermal mechanical and tribological behavior of GnP-PA66 composites,ChemistrySelect study,ChemistrySelect,2026,10.1002/slct.202507442,GNP2026.pdf,institutional,pending,GnP 1-3-5-10wt%
KIM2014,Friction and wear of monolithic and GFR-PA66 in humid conditions,Kim et al.,Wear,2014,10.1016/j.wear.2013.11.007,KIM2014.pdf,institutional,pending,dry vs water-absorbed
PA66TEMP2019,Temperature pressure velocity influence on PA66 and PA46 tribology,MDPI study,Materials,2019,mdpi.com/1996-1944/12/20/3452,PA66TEMP2019.pdf,open,done,temperature variable
PA6B2O32021,Tribological performance of self-lubricated water conditioned PA6-B2O3,ResearchGate study,Journal,2021,researchgate.net/publication/353386067,PA6B2O32021.pdf,open,done,water conditioning B2O3
